A2VCK8	3	21	ELMI001654	LIG	LIG_Actin_WH2_2	.	-1	-1	0
A5D8V6	202	209	ELMI002658	LIG	LIG_EF_ALG2_ABM_1	A5D8V6	159	355	7
A6NGB9	420	430	ELMI002697	LIG	LIG_WH1	.	-1	-1	0
A9UF02	115	122	ELMI002050	DOC	DOC_ANK_TNKS_1	.	-1	-1	0
B9EIS4	18	24	ELMI001419	MOD	MOD_PKA_2	.	-1	-1	0
O00141	418	423	ELMI001630	DOC	DOC_AGCK_PIF_1	.	-1	-1	0
O00192	960	962	ELMI003528	LIG	LIG_PDZ_Wminus1_1	O00192	854	962	2
O00198	29	45	ELMI003194	LIG	LIG_BH_BH3_1	.	-1	-1	0
O00203	818	822	ELMI000432	LIG	LIG_Clathr_ClatBox_1	.	-1	-1	0
O00206	525	530	ELMI000603	MOD	MOD_N-GLC_1	.	-1	-1	0
O00206	574	579	ELMI000604	MOD	MOD_N-GLC_1	.	-1	-1	0
O00221	156	161	ELMI001305	DEG	DEG_SCF_TRCP1_1	O00221	84	241	5
O00257	461	468	ELMI002801	LIG	LIG_SUMO_SIM_anti_2	.	-1	-1	0
O00257	461	468	ELMI002768	LIG	LIG_SUMO_SIM_par_1	.	-1	-1	0
O00257	472	476	ELMI000255	LIG	LIG_CtBP_PxDLS_1	.	-1	-1	0
O00268	764	768	ELMI000251	LIG	LIG_HP1_1	.	-1	-1	0
O00291	332	336	ELMI000454	LIG	LIG_Clathr_ClatBox_1	.	-1	-1	0
O00401	467	475	ELMI003346	LIG	LIG_GBD_Chelix_1	.	-1	-1	0
O00408	1	7	ELMI002310	MOD	MOD_NMyristoyl	.	-1	-1	0
O00418	356	363	ELMI003210	MOD	MOD_CDK_SPxxK_3	O00418	352	405	7
O00443	256	261	ELMI003240	MOD	MOD_CDK_SPK_2	.	-1	-1	0
O00444	302	308	ELMI003384	MOD	MOD_Plk_4	.	-1	-1	0
O00444	339	345	ELMI003385	MOD	MOD_Plk_4	O00444	323	458	6
O00444	339	345	ELMI003385	MOD	MOD_Plk_4	O00444	323	458	6
O00444	954	960	ELMI003386	MOD	MOD_Plk_4	.	-1	-1	0
O00499	362	366	ELMI000298	LIG	LIG_AP2alpha_1	.	-1	-1	0
O00499	390	394	ELMI000449	LIG	LIG_Clathr_ClatBox_1	.	-1	-1	0
O00499	415	420	ELMI000452	LIG	LIG_Clathr_ClatBox_2	O00499	400	488	5
O00499-6	308	314	ELMI002443	LIG	LIG_SH3_3	.	-1	-1	0
O00560	3	7	ELMI002343	LIG	LIG_LYPXL_S_1	.	-1	-1	0
O00560	45	49	ELMI002344	LIG	LIG_LYPXL_S_1	.	-1	-1	0
O00560	49	53	ELMI002345	LIG	LIG_LYPXL_S_1	.	-1	-1	0
O00562	348	355	ELMI003557	TRG	TRG_ER_FFAT_1	O00562	339	358	7
O00571	38	44	ELMI002103	LIG	LIG_eIF4E_2	O00571	19	144	6
O00571	38	44	ELMI002103	LIG	LIG_eIF4E_2	O00571	19	144	6
