sp|A0A075B6H9|LV469_HUMAN	73	92
sp|A0A075B6J9|LV218_HUMAN	20	52
sp|A0A075B6Y9|TJA42_HUMAN	1	20
sp|A0A087WSX0|LV545_HUMAN	68	92
sp|A0A087WUL8|NBPFJ_HUMAN	1047	1085
sp|A0A087WUL8|NBPFJ_HUMAN	1291	1329
sp|A0A087WUL8|NBPFJ_HUMAN	1535	1573
sp|A0A087WUL8|NBPFJ_HUMAN	1779	1817
sp|A0A087WUL8|NBPFJ_HUMAN	180	203
sp|A0A087WUL8|NBPFJ_HUMAN	2023	2061
sp|A0A087WUL8|NBPFJ_HUMAN	2267	2305
sp|A0A087WUL8|NBPFJ_HUMAN	249	295
sp|A0A087WUL8|NBPFJ_HUMAN	2511	2549
sp|A0A087WUL8|NBPFJ_HUMAN	2755	2793
sp|A0A087WUL8|NBPFJ_HUMAN	2999	3037
sp|A0A087WUL8|NBPFJ_HUMAN	3243	3281
sp|A0A087WUL8|NBPFJ_HUMAN	3487	3525
sp|A0A087WUL8|NBPFJ_HUMAN	3731	3764
sp|A0A087WUL8|NBPFJ_HUMAN	559	597
sp|A0A087WUL8|NBPFJ_HUMAN	803	841
sp|A0A087WVF3|TBC3D_HUMAN	349	443
sp|A0A087WVF3|TBC3D_HUMAN	507	526
sp|A0A087WWA1|P3URF_HUMAN	1	27
sp|A0A087WX78|ELB3C_HUMAN	1	103
sp|A0A087WX78|ELB3C_HUMAN	298	387
sp|A0A087WXM9|MEIKN_HUMAN	1	91
sp|A0A087WXM9|MEIKN_HUMAN	250	276
sp|A0A087WXS9|TBC3I_HUMAN	349	443
sp|A0A087WXS9|TBC3I_HUMAN	507	526
sp|A0A087X179|TBC3E_HUMAN	350	419
sp|A0A087X1G2|TBC3K_HUMAN	350	419
sp|A0A096LP49|CC187_HUMAN	1	41
sp|A0A096LP49|CC187_HUMAN	1010	1030
sp|A0A096LP49|CC187_HUMAN	218	278
sp|A0A096LP49|CC187_HUMAN	300	319
sp|A0A096LP49|CC187_HUMAN	392	484
sp|A0A096LP49|CC187_HUMAN	496	539
sp|A0A096LP49|CC187_HUMAN	551	658
sp|A0A096LP49|CC187_HUMAN	62	184
sp|A0A096LP55|QCR6L_HUMAN	1	30
sp|A0A0A6YYL3|POTEB_HUMAN	332	457
sp|A0A0B4J2F2|SIK1B_HUMAN	353	377
sp|A0A0B4J2F2|SIK1B_HUMAN	449	477
sp|A0A0J9YWL9|TX13C_HUMAN	281	381
sp|A0A0J9YWL9|TX13C_HUMAN	520	547
sp|A0A0J9YWL9|TX13C_HUMAN	894	959
sp|A0A0J9YX94|PMA6F_HUMAN	106	221
sp|A0A0J9YX94|PMA6F_HUMAN	441	578
sp|A0A0J9YXQ4|PMA6E_HUMAN	111	199
sp|A0A0J9YXQ4|PMA6E_HUMAN	227	254
sp|A0A0J9YXQ4|PMA6E_HUMAN	508	580
sp|A0A0J9YXQ4|PMA6E_HUMAN	608	647
sp|A0A0J9YY54|TX13D_HUMAN	300	419
sp|A0A0J9YY54|TX13D_HUMAN	431	675
sp|A0A0U1RQF7|DP2NB_HUMAN	67	123
sp|A0A0U1RQS6|TM275_HUMAN	1	20
sp|A0A0U1RR11|CENL1_HUMAN	1	23
sp|A0A0U1RR11|CENL1_HUMAN	240	272
sp|A0A0U1RR11|CENL1_HUMAN	65	95
sp|A0A0U1RR37|CA232_HUMAN	121	164
sp|A0A0U1RR37|CA232_HUMAN	17	47
sp|A0A0U1RR37|CA232_HUMAN	77	105
sp|A0A0U1RRE5|NBDY_HUMAN	1	68
sp|A0A0U1RRI6|CENL3_HUMAN	1	37
sp|A0A0U1RRI6|CENL3_HUMAN	255	287
sp|A0A0U1RRI6|CENL3_HUMAN	80	110
sp|A0A0U1RRK4|LBHD2_HUMAN	1	108
sp|A0A0U1RRL7|MMPOS_HUMAN	1	61
sp|A0A183|LCE6A_HUMAN	1	21
sp|A0A183|LCE6A_HUMAN	35	60
sp|A0A1B0GTD5|TEX49_HUMAN	18	44
sp|A0A1B0GTH6|CS2IP_HUMAN	608	654
sp|A0A1B0GTI1|CC201_HUMAN	1	79
sp|A0A1B0GTI1|CC201_HUMAN	92	159
sp|A0A1B0GTK5|F236D_HUMAN	19	48
sp|A0A1B0GTQ4|MYMX_HUMAN	62	84
sp|A0A1B0GTR3|CX05A_HUMAN	1	108
sp|A0A1B0GTR4|SPRR5_HUMAN	1	24
sp|A0A1B0GTR4|SPRR5_HUMAN	73	108
sp|A0A1B0GTS1|HSFX4_HUMAN	1	66
sp|A0A1B0GTS1|HSFX4_HUMAN	227	275
sp|A0A1B0GTU1|ZC11B_HUMAN	140	194
sp|A0A1B0GTU1|ZC11B_HUMAN	223	351
sp|A0A1B0GTU1|ZC11B_HUMAN	364	433
sp|A0A1B0GTU1|ZC11B_HUMAN	449	468
sp|A0A1B0GTU1|ZC11B_HUMAN	481	506
sp|A0A1B0GTU1|ZC11B_HUMAN	715	805
